cat_from,cat_to,correlation,store_chain
Бакалея,Вода и напитки,0.7911160892912024,Pyaterochka
Бакалея,Молочный прилавок,0.7045771283625168,Pyaterochka
Бакалея,"Мясо, птица, колбасы",0.8069846622597356,Pyaterochka
Бакалея,Овощи и фрукты,0.6826741076255302,Pyaterochka
Бакалея,Рыба и морепродукты,0.7978222855912162,Pyaterochka
Бакалея,Хлеб и выпечка,0.776858347725368,Pyaterochka
Вода и напитки,Молочный прилавок,0.5468345323992666,Pyaterochka
Вода и напитки,"Мясо, птица, колбасы",0.8860257425863889,Pyaterochka
Вода и напитки,Овощи и фрукты,0.6659186385608816,Pyaterochka
Вода и напитки,Рыба и морепродукты,0.9173547264796346,Pyaterochka
Вода и напитки,Хлеб и выпечка,0.8644250169143067,Pyaterochka
Молочный прилавок,"Мясо, птица, колбасы",0.7776736147798573,Pyaterochka
Молочный прилавок,Овощи и фрукты,0.6893266375112803,Pyaterochka
Молочный прилавок,Рыба и морепродукты,0.4579794675253174,Pyaterochka
Молочный прилавок,Хлеб и выпечка,0.35272546627911033,Pyaterochka
"Мясо, птица, колбасы",Овощи и фрукты,0.8765907070288628,Pyaterochka
"Мясо, птица, колбасы",Рыба и морепродукты,0.8771041059458011,Pyaterochka
"Мясо, птица, колбасы",Хлеб и выпечка,0.7057307459259957,Pyaterochka
Овощи и фрукты,Рыба и морепродукты,0.812054230500431,Pyaterochka
Овощи и фрукты,Хлеб и выпечка,0.48915975522016947,Pyaterochka
Рыба и морепродукты,Хлеб и выпечка,0.7780379158337476,Pyaterochka
Бакалея,Вода и напитки,-0.4745832722332547,Magnit
Бакалея,Консервы,-0.15478435773487173,Magnit
Бакалея,Молочный прилавок,0.9138499450049347,Magnit
Бакалея,Мясо и птица,0.6652733601511793,Magnit
Бакалея,Овощи и фрукты,0.3908653482928432,Magnit
Бакалея,Рыба и морепродукты,0.011821478723901721,Magnit
Бакалея,Хлеб и выпечка,-0.08447373595834584,Magnit
Вода и напитки,Консервы,0.7372156971616549,Magnit
Вода и напитки,Молочный прилавок,-0.4338207307118506,Magnit
Вода и напитки,Мясо и птица,-0.160969176008966,Magnit
Вода и напитки,Овощи и фрукты,-0.9199102983155825,Magnit
Вода и напитки,Рыба и морепродукты,0.5576005283922245,Magnit
Вода и напитки,Хлеб и выпечка,0.6989188454371946,Magnit
Консервы,Молочный прилавок,-0.2646552107528377,Magnit
Консервы,Мясо и птица,0.06465357906677338,Magnit
Консервы,Овощи и фрукты,-0.8669857182047211,Magnit
Консервы,Рыба и морепродукты,0.7665049477760992,Magnit
Консервы,Хлеб и выпечка,0.8788970311186125,Magnit
Молочный прилавок,Мясо и птица,0.8274998066850332,Magnit
Молочный прилавок,Овощи и фрукты,0.4933706561348719,Magnit
Молочный прилавок,Рыба и морепродукты,-0.006553954196491325,Magnit
Молочный прилавок,Хлеб и выпечка,-0.10698356855899341,Magnit
Мясо и птица,Овощи и фрукты,0.2933848838068363,Magnit
Мясо и птица,Рыба и морепродукты,0.23418874521089234,Magnit
Мясо и птица,Хлеб и выпечка,0.15249458152711123,Magnit
Овощи и фрукты,Рыба и морепродукты,-0.6385706163124504,Magnit
Овощи и фрукты,Хлеб и выпечка,-0.765094371834871,Magnit
Рыба и морепродукты,Хлеб и выпечка,0.5176280071900591,Magnit
